frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,stop_line_mm,stop_line_hit
38,1.9000,1,hybrid:ecc,0.9113,0.171,1049.8,997.2,-177.172,-1516.7,-174.9,-1602.1,1553.0,3022.3,1781.5,3107.6,53.6,1450.0,,,planar,571.2,543.9,1528.8,544.3,1528.4,1450.6,570.8,1450.2,-617.8,-130.5,-703.2,1597.4,2258.7,11.6,2173.3,1739.5,524.6,0
39,1.9500,1,hybrid:ecc,0.9131,0.171,1049.8,997.2,-177.172,-1516.7,-174.9,-1602.1,1553.0,3022.3,1781.5,3107.6,53.6,1450.0,,,planar,571.2,543.9,1528.8,544.3,1528.4,1450.6,570.8,1450.2,-617.8,-130.5,-703.2,1597.4,2258.7,11.6,2173.3,1739.5,524.6,0
40,2.0000,1,hybrid:ecc,0.9044,0.171,1049.5,996.5,-177.023,-1514.0,-182.3,-1603.8,1545.4,3019.9,1785.9,3109.8,58.2,1450.0,,,planar,572.0,541.9,1529.6,544.8,1526.9,1451.1,569.3,1448.2,-615.2,-135.5,-705.0,1592.2,2260.9,14.1,2171.1,1741.8,522.5,0
41,2.0500,1,hybrid:ecc,0.9048,0.171,1049.5,996.8,-177.238,-1518.4,-172.3,-1601.7,1555.7,3022.9,1778.8,3106.2,50.8,1450.0,,,planar,570.3,544.0,1527.9,543.3,1528.6,1449.6,571.0,1450.3,-619.4,-128.9,-702.8,1599.1,2257.2,9.8,2173.9,1737.8,525.1,0
42,2.1000,1,hybrid:ecc,0.9042,0.171,1049.4,996.5,-177.035,-1514.3,-181.7,-1603.8,1546.0,3020.0,1785.5,3109.5,57.8,1450.0,,,planar,571.9,542.0,1529.5,544.7,1526.9,1451.0,569.3,1448.3,-615.5,-135.2,-705.0,1592.5,2260.6,13.8,2171.1,1741.5,522.6,0
43,2.1500,1,hybrid:ecc,0.9047,0.171,1049.5,996.8,-177.244,-1518.5,-172.0,-1601.7,1556.0,3023.0,1778.6,3106.1,50.6,1450.0,,,planar,570.3,544.1,1527.9,543.3,1528.6,1449.6,571.0,1450.4,-619.5,-128.8,-702.7,1599.2,2257.1,9.7,2173.9,1737.7,525.2,0
44,2.2000,1,hybrid:ecc,0.9041,0.171,1049.4,996.5,-177.035,-1514.3,-181.7,-1603.8,1546.0,3020.0,1785.5,3109.5,57.8,1450.0,,,planar,571.9,542.0,1529.5,544.7,1526.9,1451.0,569.3,1448.3,-615.5,-135.2,-705.0,1592.5,2260.6,13.8,2171.1,1741.5,522.6,0
45,2.2500,1,hybrid:ecc,0.9047,0.171,1049.4,996.8,-177.244,-1518.6,-172.0,-1601.8,1556.0,3022.9,1778.6,3106.0,50.6,1450.0,,,planar,570.3,544.1,1527.9,543.3,1528.6,1449.6,571.0,1450.4,-619.6,-128.8,-702.8,1599.2,2257.0,9.7,2173.8,1737.7,525.1,0
46,2.3000,1,hybrid:ecc,0.9058,0.171,1049.3,996.6,-177.035,-1514.4,-181.6,-1603.9,1546.1,3019.9,1785.6,3109.4,57.9,1450.0,,,planar,571.8,542.1,1529.4,544.8,1526.9,1451.1,569.3,1448.4,-615.6,-135.1,-705.1,1592.6,2260.5,13.9,2171.0,1741.6,522.5,0
47,2.3500,1,hybrid:ecc,0.9059,0.171,1049.3,996.9,-177.250,-1518.8,-171.7,-1601.8,1556.3,3022.8,1778.5,3105.8,50.5,1450.0,,,planar,570.1,544.2,1527.7,543.3,1528.6,1449.6,571.0,1450.5,-619.9,-128.5,-702.9,1599.5,2256.8,9.7,2173.8,1737.7,525.0,0
